Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
ETR-3 LV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003172,Fire and gas detection,1-01-42-XFAS-ETR03-03,60-82-FF58-ETR3-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008096.0,PM_FDET,1-01-42-XFAS-ETR03-03,,GB
ETR-4 BATTERY ROOM FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003173,Fire and gas detection,1-01-42-XFAS-ETR04-04,60-83-FF58-ETR4-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_FDET,1-01-42-XFAS-ETR04-04,,GB
ETR-5 BATTERY ROOM FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003174,Fire and gas detection,1-01-42-XFAS-ETR05-04,60-84-FF58-ETR5-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_FDET,1-01-42-XFAS-ETR05-04,,GB
ETR-7 MV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003175,Fire and gas detection,1-01-42-XFAS-ETR07-01,60-86-FF58-ETR7-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007939.0,PM_FDET,1-01-42-XFAS-ETR07-01,,GB
ETR-8 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003176,Fire and gas detection,1-01-42-XFAS-ETR08-02,60-87-FF58-ETR8-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_FDET,1-01-42-XFAS-ETR08-02,,GB
TELECOM CABINET B IN CAPACITOR BUILDING,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003186,Emergency Power,1-01-42-TLC-8200-06,60-00-TF82-CAP-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011002959.0,PM_TCOM,1-01-42-TLC-8200-06,L800XD800XH2000 MM,DE
TELECOM CABINET-1 AT ETR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003187,Main Power,1-01-42-TLC-8282-11,60-82-TF82-ETR3-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011000381.0,PM_TCOM,1-01-42-TLC-8282-11,L800XD800XH2000 MM,DE
ETR-4 TELECOM CABINET-B,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003188,Telecommunications,1-01-42-TLC-8283-02,60-83-TF82-ETR4-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011008847.0,PM_TCOM,1-01-42-TLC-8283-02,D800XW800XH2000 MM,DE
TELECOM CABINET-1 AT ETR-7,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003189,Main Power,1-01-42-DB-4486-02,A-AP-6086-PF42-ETR07,,RITTAL,TS SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011003054.0,PM_TCOM,1-01-42-TLC-8286-01,D400XW600XH492 MM,DE
ETR-8 TELECOM CABINET-B,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003190,Telecommunications,1-01-42-TLC-8287-02,60-87-TF82-ETR8-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011001501.0,PM_TCOM,1-01-42-TLC-8287-02,D800XW800XH2000 MM,DE
ETR-9 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003196,Fire and gas detection,1-01-42-XGAB-ETR09-03,60-82-FF58-ETR9-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_EVEQ,1-01-42-XGAB-ETR09-03,,GB
ETR-7 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003199,Fire and gas detection,1-01-42-XGAB-ETR07-02,60-86-FF58-ETR7-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007939.0,PM_EVEQ,1-01-42-XGAB-ETR07-02,,GB
ETR-8 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003200,Fire and gas detection,1-01-42-XGAB-ETR08-03,60-87-FF58-ETR8-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_EVEQ,1-01-42-XGAB-ETR08-03,,GB
ETR-2 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003201,Fire and gas detection,1-01-42-XGD-ETR02-01,60-82-FF58-ETR2-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011008094.0,PM_GDET,1-01-42-XGD-ETR02-01,D96XW155XH280 MM,
ETR-4 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003202,Fire and gas detection,1-01-42-XGD-ETR04-01,60-83-FF58-ETR4-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011008100.0,PM_GDET,1-01-42-XGD-ETR04-01,D96XW155XH280 MM,
ETR-6 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003203,Fire and gas detection,1-01-42-XGD-ETR06-02,60-85-FF58-ETR6-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011007937.0,PM_GDET,1-01-42-XGD-ETR06-02,D96XW155XH280 MM,
ETR-9 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003204,Fire and gas detection,1-01-42-XGD-ETR09-01,60-82-FF58-ETR9-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011007946.0,PM_GDET,1-01-42-XGD-ETR09-01,D96XW155XH280 MM,
ETR-3 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003206,Fire and gas detection,1-01-42-XHD-ETR03-02,60-82-FF58-ETR3-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008097.0,PM_FDET,1-01-42-XHD-ETR03-02,D100XH50 MM,
ETR-6 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003208,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,MEDC,HD1BBD190DTGER,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011003968.0,PM_FDET,1-01-42-XHD-ETR06-03,,GB
ETR-8 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003209,Fire and gas detection,1-01-42-XHD-ETR08-02,60-87-FF58-ETR8-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011003971.0,PM_FDET,1-01-42-XHD-ETR08-02,D100XH50 MM,
ETR-5 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003211,Fire and gas detection,1-01-42-XHGD-ETR05-01,60-84-FF58-ETR5-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011003967.0,PM_FDET,1-01-42-XHGD-ETR05-01,D96XW155XH280 MM,
ETR-9 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003212,Fire and gas detection,1-01-42-XHGD-ETR09-01,60-82-FF58-ETR9-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011007946.0,PM_FDET,1-01-42-XHGD-ETR09-01,D96XW155XH280 MM,
ETR-1 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003279,Fire and gas detection,1-01-42-XGAB-ETR01-04,60-81-FF58-ETR1-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_EVEQ,1-01-42-XGAB-ETR01-04,,GB
ETR-3 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003280,Fire and gas detection,1-01-42-XGAB-ETR03-01,60-82-FF58-ETR3-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008096.0,PM_EVEQ,1-01-42-XGAB-ETR03-01,,GB
ETR-4 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003281,Fire and gas detection,1-01-42-XGAB-ETR04-02,60-83-FF58-ETR4-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_EVEQ,1-01-42-XGAB-ETR04-02,,GB
ETR-5 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003282,Fire and gas detection,1-01-42-XGAB-ETR05-02,60-84-FF58-ETR5-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_EVEQ,1-01-42-XGAB-ETR05-02,,GB
ETR-6 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003283,Fire and gas detection,1-01-42-XGAB-ETR06-03,60-85-FF58-ETR6-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_EVEQ,1-01-42-XGAB-ETR06-03,,GB
ETR-2 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003312,Fire and gas detection,1-01-42-XTGD-ETR02-01,60-82-FF58-ETR2-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011008094.0,PM_GDET,1-01-42-XTGD-ETR02-01,D96XW155XH280 MM,
ETR-4 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003313,Fire and gas detection,1-01-42-XTGD-ETR04-02,60-83-FF58-ETR4-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011008100.0,PM_GDET,1-01-42-XTGD-ETR04-02,D96XW155XH280 MM,
ETR-6 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003314,Fire and gas detection,1-01-42-XTGD-ETR06-02,60-85-FF58-ETR6-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011007937.0,PM_GDET,1-01-42-XTGD-ETR06-02,D96XW155XH280 MM,
ETR-9 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003315,Fire and gas detection,1-01-42-XTGD-ETR09-01,60-82-FF58-ETR9-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011007946.0,PM_GDET,1-01-42-XTGD-ETR09-01,D96XW155XH280 MM,
WELL HB20 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003391,Fire and gas detection,1-01-81-XFAB-H20H-01,60-71-HB-020H-WFG,214287525-31-05,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007966.0,PM_EVEQ,1-01-81-XFAB-H20H-01,L150XW170XH239 MM,GB
ITR-1 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003393,Fire and gas detection,1-01-81-XFAS-ITR01-01,60-81-FF58-ITR1-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004061.0,PM_FDET,1-01-81-XFAS-ITR01-01,,GB
WELL HB03 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003394,Fire and gas detection,1-01-81-XFD-H03P-02,60-71-HB-003P-WFG,1930675,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011003974.0,PM_FDET,1-01-81-XFD-H03P-02,D138XH109XB89 MM,
WELL HB28 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003396,Fire and gas detection,1-01-81-XGAB-H28H-01,60-71-HB-028H-WFG,,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000498.0,PM_EVEQ,1-01-81-XGAB-H28H-01,L150XW170XH239 MM,GB
WELL HB03 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003397,Fire and gas detection,1-01-81-XGD-H03P-01,60-71-HB-003P-WFG,A19-U401356920-11-41,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011007949.0,PM_GDET,1-01-81-XGD-H03P-01,L325XM99XH145 MM,US
ITR-1 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003398,Fire and gas detection,1-01-81-XGD-ITR01-01,60-81-FF58-ITR1-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011002031.0,PM_GDET,1-01-81-XGD-ITR01-01,D96XW155XH280 MM,
ITR-1 ADDRESSABLE SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003402,Fire and gas detection,1-01-81-XSD-ITR01-01,60-81-FF58-ITR1-FACP,,APOLLO,58000-600-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008121.0,PM_FDET,1-01-81-XSD-ITR01-01,D100XH42 MM,
WELL HB09 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003503,Fire and gas detection,1-01-82-XFAB-H09P-01,60-71-HB-009P-WFG,214287525-31-09,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001988.0,PM_EVEQ,1-01-82-XFAB-H09P-01,L150XW170XH239 MM,GB
WELL HB27 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003505,Fire and gas detection,1-01-82-XFAB-H27H-01,60-71-HB-027H-WFG,214287525-31-11,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007973.0,PM_EVEQ,1-01-82-XFAB-H27H-01,L150XW170XH239 MM,GB
WELL HB34 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003506,Fire and gas detection,1-01-82-XFAB-H34P-01,60-71-HB-034P-WFG,214287525-31-15,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008112.0,PM_EVEQ,1-01-82-XFAB-H34P-01,L150XW170XH239 MM,GB
WELL HB40 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003507,Fire and gas detection,1-01-82-XFAB-H40H-01,60-71-HB-040H-WFG,214287525-31-20,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001015.0,PM_EVEQ,1-01-82-XFAB-H40H-01,L150XW170XH239 MM,GB
WELL HB27 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003509,Fire and gas detection,1-01-82-XFAS-H27H-01,60-71-HB-027H-WFG,214287525-63-12,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007973.0,PM_EVEQ,1-01-82-XFAS-H27H-01,L185XW280XH200 MM,GB
WELL HB34 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003510,Fire and gas detection,1-01-82-XFAS-H34P-01,60-71-HB-034P-WFG,214287525-63-16,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008112.0,PM_EVEQ,1-01-82-XFAS-H34P-01,L185XW280XH200 MM,GB
WELL HB40 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003511,Fire and gas detection,1-01-82-XFAS-H40H-01,60-71-HB-040H-WFG,214287525-63-21,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001015.0,PM_FDET,1-01-82-XFAS-H40H-01,L185XW280XH200 MM,GB
WELL HB14 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003513,Fire and gas detection,1-01-82-XFD-H14P-01,60-72-HB-014P-WFG,1930682,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011007960.0,PM_FDET,1-01-82-XFD-H14P-01,D138XH109XB89 MM,
WELL HB32 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003514,Fire and gas detection,1-01-82-XFD-H32P-01,60-71-HB-032P-WFG,1930686,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008109.0,PM_FDET,1-01-82-XFD-H32P-01,D138XH109XB89 MM,
WELL HB34 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003515,Fire and gas detection,1-01-82-XFD-H34P-02,60-71-HB-034P-WFG,1930703,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008113.0,PM_FDET,1-01-82-XFD-H34P-02,D138XH109XB89 MM,
ITR-2 TELECOM CABINET-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003575,,0,,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,WLG,TE,M,11011009182.0,PM_TCOM,1-01-82-TLC-8202-02,D800XW800XH2000 MM,DE
WELL HB36 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003605,Fire and gas detection,1-01-82-XGAB-H36P-01,60-71-HB-036P-WFG,214287525-41-08,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008114.0,PM_EVEQ,1-01-82-XGAB-H36P-01,L150XW170XH239 MM,GB
WELL HB40 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003606,Fire and gas detection,1-01-82-XGAB-H40H-01,60-71-HB-040H-WFG,,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001015.0,PM_EVEQ,1-01-82-XGAB-H40H-01,L150XW170XH239 MM,GB
WELL HB14 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003608,Fire and gas detection,1-01-82-XGD-H14P-01,60-72-HB-014P-WFG,A19-U401356920-11-47,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011003979.0,PM_GDET,1-01-82-XGD-H14P-01,L325XM99XH145 MM,US
WELL HB32 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003609,Fire and gas detection,1-01-82-XGD-H32P-02,60-71-HB-032P-WFG,A19-U401356920-11-52,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011009571.0,PM_GDET,1-01-82-XGD-H32P-02,L325XM99XH145 MM,US
ITR-3 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003610,Fire and gas detection,1-01-82-XGD-ITR03-01,60-82-FF58-ITR03-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011002033.0,PM_GDET,1-01-82-XGD-ITR03-01,D96XW155XH280 MM,
WELL HB36 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003611,Fire and gas detection,1-01-82-XGD-H36P-02,60-71-HB-036P-WFG,A19-U401356920-11-58,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011008115.0,PM_GDET,1-01-82-XGD-H36P-02,L325XM99XH145 MM,US
ITR-2 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003622,Fire and gas detection,1-01-82-XTGD-ITR02-01,60-82-FF58-ITR02-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011001016.0,PM_GDET,1-01-82-XTGD-ITR02-01,D96XW155XH280 MM,
WELL HB08 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003626,Fire and gas detection,1-01-83-XFAB-H08P-01,60-71-HB-008P-WFG,1-01-83-XFAB-H08P-01,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000248.0,PM_EVEQ,1-01-83-XFAB-H08P-01,L150XW170XH239 MM,GB
ITR-4 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003627,Fire and gas detection,1-01-83-XFAB-ITR04-02,60-83-FF58-ITR4-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008132.0,PM_EVEQ,1-01-83-XFAB-ITR04-02,,GB
ITR-4 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003629,Fire and gas detection,1-01-83-XFAS-ITR04-02,60-83-FF58-ITR4-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008132.0,PM_EVEQ,1-01-83-XFAS-ITR04-02,,GB
WELL HB08 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003630,Fire and gas detection,1-01-83-XFD-H08P-01,60-71-HB-008P-WFG,1930712,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011003975.0,PM_FDET,1-01-83-XFD-H08P-01,D138XH109XB89 MM,
WELL HB08 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003632,Fire and gas detection,1-01-83-XGAB-H08P-01,60-71-HB-008P-WFG,214287525 41 25,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000248.0,PM_EVEQ,1-01-83-XGAB-H08P-01,L150XW170XH239 MM,GB
ITR-4 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003633,Fire and gas detection,1-01-83-XGAB-ITR04-02,60-83-FF58-ITR4-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008132.0,PM_EVEQ,1-01-83-XGAB-ITR04-02,,GB
WELL HB08 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003634,Fire and gas detection,1-01-83-XGD-H08P-01,60-71-HB-008P-WFG,A19-U401356920-11-059,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011007951.0,PM_GDET,1-01-83-XGD-H08P-01,L325XM99XH145 MM,US
ITR-5 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003635,Fire and gas detection,1-01-83-XGD-ITR05-02,60-83-FF58-ITR5-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011009580.0,PM_GDET,1-01-83-XGD-ITR05-02,D96XW155XH280 MM,
ITR-4 ADDRESSABLE SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003638,Fire and gas detection,1-01-83-XSD-ITR04-01,60-83-FF58-ITR4-FACP,,APOLLO,58000-600-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011009579.0,PM_FDET,1-01-83-XSD-ITR04-01,D100XH50 MM,
ITR-5 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003639,Fire and gas detection,1-01-83-XTGD-ITR05-02,60-83-FF58-ITR5-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011009580.0,PM_GDET,1-01-83-XTGD-ITR05-02,D96XW155XH280 MM,
ITR-5 TELECOM CABINET-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003702,Telecommunications,1-01-83-TLC-8205-02,60-83-TF82-ITR5-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,WLG,TE,M,11011007171.0,PM_TCOM,1-01-83-TLC-8205-02,D800XW800XH2000 MM,DE
ITR-6 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011003711,Fire and gas detection,1-01-84-XGAB-ITR06-02,60-84-FF58-ITR6-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008136.0,PM_EVEQ,1-01-84-XGAB-ITR06-02,,GB
